ticker,company_name,industry,industry_zh,broad_industry,broad_industry_zh,year,is_financial_sector,revenue,cogs,gross_profit,operating_income,net_income,interest_expense,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,accounts_receivable,inventory,retained_earnings,market_value_equity,operating_cash_flow
2308,台達電,electronics_components,電子零組件,manufacturing,製造業,2020,False,282.0,200.26,81.74,29.6,23.69,0.846,321.9,145.81,176.09,137.58,79.03,41.83,61.8,39.28,126.96,344.65,33.48
2308,台達電,electronics_components,電子零組件,manufacturing,製造業,2021,False,299.44,213.9,85.54,31.91,21.28,0.912,333.77,140.51,193.26,147.74,85.03,41.86,70.08,40.83,143.75,386.92,32.31
2308,台達電,electronics_components,電子零組件,manufacturing,製造業,2022,False,314.66,228.18,86.48,29.43,24.48,0.841,362.21,161.48,200.73,161.91,98.38,52.74,72.12,50.28,142.63,315.19,41.39
2308,台達電,electronics_components,電子零組件,manufacturing,製造業,2023,False,298.92,216.8,82.12,28.71,26.06,0.82,329.08,153.25,175.83,132.5,83.53,33.01,62.74,39.0,118.7,375.28,38.4
2308,台達電,electronics_components,電子零組件,manufacturing,製造業,2024,False,328.97,237.48,91.48,35.79,28.85,1.023,390.05,163.79,226.27,133.41,80.76,30.75,65.79,41.93,155.22,580.49,44.67
2317,鴻海,electronics_manufacturing,電子代工,manufacturing,製造業,2020,False,5358.0,5039.14,318.86,144.31,124.11,12.026,3964.43,2290.21,1674.22,1881.12,1260.95,404.43,950.45,739.45,1170.3,3458.3,312.85
2317,鴻海,electronics_manufacturing,電子代工,manufacturing,製造業,2021,False,5780.28,5429.89,350.39,160.77,124.11,13.398,4085.97,2485.9,1600.07,1691.37,1269.39,204.3,1117.26,759.52,1140.35,3219.51,303.71
2317,鴻海,electronics_manufacturing,電子代工,manufacturing,製造業,2022,False,6021.73,5649.5,372.23,167.19,116.82,13.933,4340.67,2904.04,1436.63,2303.24,1571.34,442.3,1166.61,883.34,916.7,3245.93,262.73
2317,鴻海,electronics_manufacturing,電子代工,manufacturing,製造業,2023,False,5600.21,5256.21,344.0,145.65,120.58,12.137,3910.08,2500.4,1409.68,2132.45,1423.85,475.76,999.02,800.08,1008.23,2531.35,260.93
2317,鴻海,electronics_manufacturing,電子代工,manufacturing,製造業,2024,False,5844.75,5503.68,341.07,167.98,137.09,13.998,3870.11,2375.64,1494.47,1530.63,1188.08,267.41,1013.39,817.49,1039.3,3196.48,277.72
