industry,industry_zh,year,is_financial_sector,revenue,cogs,gross_profit,operating_income,net_income,interest_expense,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,accounts_receivable,inventory,retained_earnings,market_value_equity,operating_cash_flow,ticker,company_name
electronics_components,電子零組件,2020,False,282.0,200.26,81.74,29.6,23.69,0.846,321.9,145.81,176.09,137.58,79.03,41.83,61.8,39.28,126.96,344.65,33.48,INDUSTRY_MEDIAN,電子零組件_中位數
electronics_components,電子零組件,2021,False,299.44,213.9,85.54,31.91,21.28,0.912,333.77,140.51,193.26,147.74,85.03,41.86,70.08,40.83,143.75,386.92,32.31,INDUSTRY_MEDIAN,電子零組件_中位數
electronics_components,電子零組件,2022,False,314.66,228.18,86.48,29.43,24.48,0.841,362.21,161.48,200.73,161.91,98.38,52.74,72.12,50.28,142.63,315.19,41.39,INDUSTRY_MEDIAN,電子零組件_中位數
electronics_components,電子零組件,2023,False,298.92,216.8,82.12,28.71,26.06,0.82,329.08,153.25,175.83,132.5,83.53,33.01,62.74,39.0,118.7,375.28,38.4,INDUSTRY_MEDIAN,電子零組件_中位數
electronics_components,電子零組件,2024,False,328.97,237.48,91.48,35.79,28.85,1.023,390.05,163.79,226.27,133.41,80.76,30.75,65.79,41.93,155.22,580.49,44.67,INDUSTRY_MEDIAN,電子零組件_中位數
electronics_manufacturing,電子代工,2020,False,5358.0,5039.14,318.86,144.31,124.11,12.026,3964.43,2290.21,1674.22,1881.12,1260.95,404.43,950.45,739.45,1170.3,3458.3,312.85,INDUSTRY_MEDIAN,電子代工_中位數
electronics_manufacturing,電子代工,2021,False,5780.28,5429.89,350.39,160.77,124.11,13.398,4085.97,2485.9,1600.07,1691.37,1269.39,204.3,1117.26,759.52,1140.35,3219.51,303.71,INDUSTRY_MEDIAN,電子代工_中位數
electronics_manufacturing,電子代工,2022,False,6021.73,5649.5,372.23,167.19,116.82,13.933,4340.67,2904.04,1436.63,2303.24,1571.34,442.3,1166.61,883.34,916.7,3245.93,262.73,INDUSTRY_MEDIAN,電子代工_中位數
electronics_manufacturing,電子代工,2023,False,5600.21,5256.21,344.0,145.65,120.58,12.137,3910.08,2500.4,1409.68,2132.45,1423.85,475.76,999.02,800.08,1008.23,2531.35,260.93,INDUSTRY_MEDIAN,電子代工_中位數
electronics_manufacturing,電子代工,2024,False,5844.75,5503.68,341.07,167.98,137.09,13.998,3870.11,2375.64,1494.47,1530.63,1188.08,267.41,1013.39,817.49,1039.3,3196.48,277.72,INDUSTRY_MEDIAN,電子代工_中位數
food_service,連鎖餐飲,2020,False,22.0,18.06,3.94,0.11,-0.27,0.085,36.03,29.66,6.37,10.91,16.81,4.71,1.2,1.34,4.46,12.44,1.16,INDUSTRY_MEDIAN,連鎖餐飲_中位數
food_service,連鎖餐飲,2021,False,19.93,16.37,3.56,0.1,-0.24,0.08,32.02,29.54,2.49,9.65,15.34,4.37,1.2,1.18,1.71,5.18,1.03,INDUSTRY_MEDIAN,連鎖餐飲_中位數
food_service,連鎖餐飲,2022,False,16.94,13.89,3.04,0.08,-0.2,0.061,28.47,22.84,5.63,8.3,12.55,3.46,0.85,1.13,4.08,11.85,0.93,INDUSTRY_MEDIAN,連鎖餐飲_中位數
food_service,連鎖餐飲,2023,False,14.4,11.81,2.58,0.07,-0.18,0.055,22.49,16.19,6.29,5.72,8.38,2.37,0.72,1.03,4.09,13.71,0.69,INDUSTRY_MEDIAN,連鎖餐飲_中位數
food_service,連鎖餐飲,2024,False,12.24,10.21,2.03,0.06,-0.15,0.049,18.88,16.47,2.41,5.99,8.65,2.37,0.72,0.92,1.68,4.88,0.62,INDUSTRY_MEDIAN,連鎖餐飲_中位數
retail,零售通路,2020,False,271.0,179.45,91.55,12.79,10.31,0.581,165.37,108.17,57.21,46.94,54.14,23.87,5.83,12.39,37.32,112.34,18.32,INDUSTRY_MEDIAN,零售通路_中位數
retail,零售通路,2021,False,284.36,183.91,100.45,12.03,11.37,0.547,168.45,118.67,49.78,58.57,61.86,28.89,5.29,12.42,32.74,99.58,17.02,INDUSTRY_MEDIAN,零售通路_中位數
retail,零售通路,2022,False,297.9,191.66,106.24,13.52,11.7,0.615,173.05,116.16,56.89,57.03,67.77,35.26,6.33,12.67,40.41,113.46,21.15,INDUSTRY_MEDIAN,零售通路_中位數
retail,零售通路,2023,False,314.66,211.56,103.1,14.11,11.77,0.641,177.89,120.98,56.91,56.23,66.97,28.03,6.66,15.32,36.99,119.99,17.78,INDUSTRY_MEDIAN,零售通路_中位數
retail,零售通路,2024,False,334.67,219.57,115.11,13.6,12.34,0.618,189.31,109.8,79.51,49.56,62.14,26.32,7.88,16.07,51.91,175.0,18.61,INDUSTRY_MEDIAN,零售通路_中位數
semiconductors,半導體,2020,False,1339.0,642.53,696.47,647.61,500.22,6.817,2492.15,734.99,1757.16,844.82,393.13,500.84,178.88,147.5,1286.15,3327.18,773.12,INDUSTRY_MEDIAN,半導體_中位數
semiconductors,半導體,2021,False,1574.67,729.64,845.03,606.08,670.4,6.38,2902.21,773.48,2128.74,846.52,397.07,478.1,186.28,165.62,1387.28,4366.2,766.36,INDUSTRY_MEDIAN,半導體_中位數
semiconductors,半導體,2022,False,2096.81,986.92,1109.89,845.95,812.36,8.905,3746.13,1182.61,2563.52,1406.25,673.06,941.79,263.53,229.21,1903.33,5743.73,1107.99,INDUSTRY_MEDIAN,半導體_中位數
semiconductors,半導體,2023,False,2388.71,1134.32,1254.39,972.57,880.86,10.238,4011.9,1271.98,2739.93,1532.57,689.0,973.64,244.41,250.25,2011.99,6442.65,897.64,INDUSTRY_MEDIAN,半導體_中位數
semiconductors,半導體,2024,False,3210.21,1620.95,1589.26,1330.93,1301.79,14.01,5800.14,1867.42,3932.72,2203.7,1028.15,1553.73,398.15,358.06,2704.2,8575.61,1510.96,INDUSTRY_MEDIAN,半導體_中位數
telecom,電信服務,2020,False,207.0,132.52,74.48,42.19,30.52,0.527,455.47,128.39,327.08,72.66,71.15,40.51,23.61,6.02,226.06,654.87,53.79,INDUSTRY_MEDIAN,電信服務_中位數
telecom,電信服務,2021,False,208.77,136.21,72.56,40.06,29.88,0.501,440.24,131.93,308.32,94.93,77.46,52.64,24.1,5.32,247.44,695.78,48.67,INDUSTRY_MEDIAN,電信服務_中位數
telecom,電信服務,2022,False,210.22,135.31,74.91,42.49,29.23,0.531,456.12,147.24,308.88,82.29,76.52,52.33,23.75,4.92,221.07,617.54,48.33,INDUSTRY_MEDIAN,電信服務_中位數
